animal_id,species,breed,sex,age_months,holding_id,area_id,vaccinated_fmd
KE-002718,cattle,Friesian cross,M,30,H00258,A06,0
KE-002719,cattle,Boran,M,62,H00258,A06,1
KE-002720,cattle,Ayrshire cross,F,8,H00258,A06,1
KE-002721,cattle,Zebu,M,88,H00258,A06,0
KE-002722,cattle,Zebu,F,35,H00258,A06,1
KE-002723,cattle,Sahiwal,F,83,H00258,A06,1
KE-002724,cattle,Ayrshire cross,M,99,H00258,A06,1
KE-002725,cattle,Boran,F,78,H00259,A06,1
KE-002726,cattle,Ayrshire cross,M,28,H00259,A06,0
KE-002727,cattle,Sahiwal,F,71,H00259,A06,0
KE-002728,cattle,Sahiwal,F,56,H00259,A06,0
KE-002729,cattle,Friesian cross,M,108,H00259,A06,0
KE-002730,cattle,Ayrshire cross,F,23,H00259,A06,0
KE-002731,cattle,Boran,F,29,H00259,A06,0
KE-002732,cattle,Sahiwal,F,82,H00259,A06,1
KE-002733,cattle,Friesian cross,F,63,H00259,A06,1
KE-002734,cattle,Friesian cross,F,65,H00259,A06,0
KE-002735,cattle,Ayrshire cross,F,59,H00259,A06,1
KE-002736,cattle,Zebu,F,88,H00259,A06,1
KE-002737,cattle,Boran,F,54,H00259,A06,0
KE-002738,cattle,Sahiwal,F,61,H00260,A06,0
KE-002739,cattle,Sahiwal,F,54,H00260,A06,1
KE-002740,cattle,Ayrshire cross,F,77,H00260,A06,0
KE-002741,cattle,Friesian cross,M,39,H00260,A06,1
KE-002742,cattle,Zebu,M,110,H00260,A06,0
KE-002743,cattle,Boran,F,40,H00260,A06,0
KE-002744,cattle,Zebu,F,76,H00260,A06,1
KE-002745,cattle,Friesian cross,F,102,H00260,A06,1
KE-002746,cattle,Ayrshire cross,F,37,H00260,A06,0
KE-002747,cattle,Zebu,F,96,H00261,A06,0
KE-002748,cattle,Sahiwal,F,94,H00261,A06,1
KE-002749,cattle,Ayrshire cross,F,51,H00261,A06,0
KE-002750,cattle,Friesian cross,F,81,H00261,A06,0
KE-002751,cattle,Friesian cross,M,34,H00261,A06,0
KE-002752,cattle,Ayrshire cross,F,28,H00261,A06,1
KE-002753,cattle,Friesian cross,F,32,H00261,A06,0
KE-002754,cattle,Friesian cross,F,101,H00261,A06,1
KE-002755,cattle,Sahiwal,F,61,H00261,A06,1
KE-002756,cattle,Ayrshire cross,M,108,H00261,A06,1
KE-002757,cattle,Zebu,F,96,H00261,A06,1
KE-002758,cattle,Ayrshire cross,F,78,H00261,A06,1
KE-002759,cattle,Zebu,F,119,H00261,A06,1
KE-002760,cattle,Friesian cross,M,57,H00261,A06,0
KE-002761,cattle,Ayrshire cross,M,108,H00261,A06,1
KE-002762,cattle,Zebu,M,85,H00262,A06,0
KE-002763,cattle,Boran,F,47,H00262,A06,1
KE-002764,cattle,Friesian cross,M,76,H00262,A06,0
KE-002765,cattle,Zebu,F,72,H00262,A06,1
KE-002766,cattle,Sahiwal,F,95,H00262,A06,0
KE-002767,cattle,Zebu,F,24,H00262,A06,0
KE-002768,cattle,Sahiwal,F,25,H00262,A06,0
KE-002769,cattle,Zebu,M,73,H00262,A06,0
KE-002770,cattle,Friesian cross,F,91,H00262,A06,0
KE-002771,cattle,Zebu,F,108,H00262,A06,0
KE-002772,cattle,Ayrshire cross,F,80,H00262,A06,0
KE-002773,cattle,Boran,F,85,H00262,A06,1
KE-002774,cattle,Zebu,F,87,H00262,A06,1
KE-002775,cattle,Boran,M,84,H00262,A06,0
KE-002776,cattle,Sahiwal,M,115,H00262,A06,0
KE-002777,cattle,Ayrshire cross,M,24,H00262,A06,1
KE-002778,cattle,Ayrshire cross,F,102,H00262,A06,0
KE-002779,cattle,Boran,F,69,H00262,A06,0
KE-002780,cattle,Boran,M,30,H00262,A06,1
KE-002781,cattle,Boran,M,93,H00262,A06,0
KE-002782,cattle,Sahiwal,M,14,H00262,A06,0
KE-002783,cattle,Sahiwal,F,44,H00263,A06,0
KE-002784,cattle,Friesian cross,F,27,H00263,A06,0
KE-002785,cattle,Ayrshire cross,M,25,H00263,A06,1
KE-002786,cattle,Zebu,F,112,H00263,A06,0
KE-002787,cattle,Friesian cross,F,54,H00263,A06,0
KE-002788,cattle,Sahiwal,M,83,H00263,A06,0
KE-002789,cattle,Boran,F,35,H00263,A06,0
KE-002790,cattle,Ayrshire cross,F,53,H00263,A06,0
KE-002791,cattle,Boran,M,55,H00263,A06,0
KE-002792,cattle,Boran,F,116,H00263,A06,0
KE-002793,cattle,Friesian cross,M,13,H00263,A06,0
KE-002794,cattle,Ayrshire cross,M,54,H00263,A06,0
KE-002795,cattle,Ayrshire cross,F,31,H00263,A06,1
KE-002796,cattle,Zebu,M,108,H00264,A06,0
KE-002797,cattle,Zebu,M,105,H00264,A06,0
KE-002798,cattle,Friesian cross,F,19,H00264,A06,0
KE-002799,cattle,Friesian cross,M,114,H00264,A06,1
KE-002800,cattle,Ayrshire cross,M,28,H00264,A06,1
KE-002801,cattle,Sahiwal,F,72,H00264,A06,1
KE-002802,cattle,Boran,M,83,H00264,A06,0
KE-002803,cattle,Ayrshire cross,F,61,H00264,A06,0
KE-002804,cattle,Sahiwal,F,71,H00264,A06,0
KE-002805,cattle,Friesian cross,F,33,H00264,A06,0
KE-002806,cattle,Friesian cross,F,75,H00264,A06,1
KE-002807,cattle,Friesian cross,F,118,H00264,A06,0
KE-002808,cattle,Sahiwal,M,14,H00264,A06,0
KE-002809,cattle,Ayrshire cross,F,68,H00264,A06,0
KE-002810,cattle,Sahiwal,M,101,H00265,A07,0
KE-002811,cattle,Sahiwal,F,78,H00265,A07,0
KE-002812,cattle,Sahiwal,F,99,H00265,A07,1
KE-002813,cattle,Sahiwal,F,88,H00265,A07,0
KE-002814,cattle,Sahiwal,F,22,H00265,A07,1
KE-002815,cattle,Ayrshire cross,M,85,H00266,A07,0
KE-002816,cattle,Boran,F,60,H00266,A07,0
KE-002817,cattle,Sahiwal,M,119,H00266,A07,1
KE-002818,cattle,Ayrshire cross,F,77,H00267,A07,1
KE-002819,cattle,Boran,F,26,H00267,A07,1
KE-002820,cattle,Friesian cross,F,96,H00267,A07,0
KE-002821,cattle,Sahiwal,F,114,H00267,A07,0
KE-002822,cattle,Boran,F,91,H00267,A07,0
KE-002823,cattle,Friesian cross,M,62,H00268,A07,0
KE-002824,cattle,Ayrshire cross,M,102,H00268,A07,0
KE-002825,cattle,Zebu,M,100,H00268,A07,0
KE-002826,cattle,Zebu,M,118,H00268,A07,0
KE-002827,cattle,Boran,F,13,H00269,A07,0
KE-002828,cattle,Friesian cross,F,18,H00269,A07,0
KE-002829,cattle,Zebu,M,106,H00269,A07,0
KE-002830,cattle,Friesian cross,F,52,H00269,A07,0
KE-002831,cattle,Friesian cross,F,26,H00269,A07,0
KE-002832,cattle,Friesian cross,F,68,H00269,A07,0
KE-002833,cattle,Boran,F,100,H00269,A07,0
KE-002834,cattle,Ayrshire cross,F,26,H00269,A07,1
KE-002835,cattle,Boran,M,63,H00269,A07,1
KE-002836,cattle,Zebu,F,70,H00269,A07,1
KE-002837,cattle,Friesian cross,F,9,H00269,A07,0
KE-002838,cattle,Friesian cross,M,119,H00269,A07,0
KE-002839,cattle,Zebu,M,94,H00269,A07,0
KE-002840,cattle,Sahiwal,M,10,H00269,A07,0
KE-002841,cattle,Sahiwal,F,35,H00269,A07,0
KE-002842,cattle,Ayrshire cross,M,50,H00270,A07,0
KE-002843,cattle,Friesian cross,M,113,H00270,A07,1
KE-002844,cattle,Sahiwal,M,99,H00270,A07,0
KE-002845,cattle,Boran,M,62,H00270,A07,0
KE-002846,cattle,Zebu,F,24,H00270,A07,1
KE-002847,cattle,Ayrshire cross,F,83,H00270,A07,0
KE-002848,cattle,Sahiwal,M,59,H00270,A07,0
KE-002849,cattle,Friesian cross,M,111,H00270,A07,1
KE-002850,cattle,Ayrshire cross,F,84,H00270,A07,0
KE-002851,cattle,Boran,F,78,H00270,A07,1
KE-002852,cattle,Sahiwal,M,54,H00270,A07,0
KE-002853,cattle,Zebu,F,9,H00271,A07,0
KE-002854,cattle,Ayrshire cross,F,72,H00271,A07,1
KE-002855,cattle,Friesian cross,F,106,H00271,A07,0
KE-002856,cattle,Zebu,F,61,H00271,A07,0
KE-002857,cattle,Sahiwal,F,35,H00271,A07,0
KE-002858,cattle,Sahiwal,M,105,H00271,A07,1
KE-002859,cattle,Boran,F,9,H00272,A07,0
KE-002860,cattle,Zebu,F,99,H00272,A07,0
KE-002861,cattle,Boran,F,22,H00272,A07,1
KE-002862,cattle,Boran,M,40,H00273,A07,0
KE-002863,cattle,Boran,F,17,H00273,A07,0
KE-002864,cattle,Boran,F,12,H00273,A07,0
KE-002865,cattle,Boran,F,39,H00274,A07,1
KE-002866,cattle,Friesian cross,F,112,H00274,A07,0
KE-002867,cattle,Friesian cross,M,40,H00274,A07,1
KE-002868,cattle,Friesian cross,M,14,H00274,A07,0
KE-002869,cattle,Boran,F,36,H00274,A07,0
KE-002870,cattle,Ayrshire cross,F,17,H00274,A07,0
KE-002871,cattle,Friesian cross,F,38,H00274,A07,0
KE-002872,cattle,Zebu,F,66,H00274,A07,0
KE-002873,cattle,Boran,F,92,H00274,A07,1
KE-002874,cattle,Boran,F,84,H00275,A07,1
KE-002875,cattle,Ayrshire cross,M,45,H00275,A07,1
KE-002876,cattle,Ayrshire cross,M,88,H00275,A07,0
KE-002877,cattle,Boran,M,33,H00275,A07,1
KE-002878,cattle,Friesian cross,M,109,H00275,A07,1
KE-002879,cattle,Friesian cross,F,97,H00276,A07,0
KE-002880,cattle,Zebu,F,53,H00276,A07,0
KE-002881,cattle,Sahiwal,F,108,H00276,A07,0
KE-002882,cattle,Boran,M,84,H00276,A07,0
KE-002883,cattle,Sahiwal,M,50,H00276,A07,1
KE-002884,cattle,Zebu,F,29,H00276,A07,1
KE-002885,cattle,Zebu,F,9,H00277,A07,0
KE-002886,cattle,Friesian cross,F,116,H00277,A07,1
KE-002887,cattle,Friesian cross,F,99,H00278,A07,0
KE-002888,cattle,Zebu,F,70,H00278,A07,0
KE-002889,cattle,Boran,M,44,H00278,A07,1
KE-002890,cattle,Zebu,M,103,H00278,A07,0
KE-002891,cattle,Zebu,F,108,H00278,A07,0
KE-002892,cattle,Friesian cross,F,102,H00278,A07,1
KE-002893,cattle,Friesian cross,F,39,H00278,A07,0
KE-002894,cattle,Boran,M,58,H00278,A07,0
KE-002895,cattle,Zebu,M,40,H00279,A07,1
KE-002896,cattle,Ayrshire cross,F,17,H00279,A07,1
KE-002897,cattle,Friesian cross,F,51,H00279,A07,1
KE-002898,cattle,Zebu,M,13,H00279,A07,1
KE-002899,cattle,Friesian cross,M,98,H00279,A07,0
KE-002900,cattle,Sahiwal,M,73,H00279,A07,0
KE-002901,cattle,Ayrshire cross,M,112,H00280,A07,0
KE-002902,cattle,Friesian cross,M,76,H00280,A07,1
KE-002903,cattle,Zebu,M,66,H00280,A07,0
KE-002904,cattle,Sahiwal,F,48,H00281,A07,1
KE-002905,cattle,Zebu,M,69,H00281,A07,0
KE-002906,cattle,Ayrshire cross,F,47,H00281,A07,0
KE-002907,cattle,Friesian cross,F,88,H00281,A07,0
KE-002908,cattle,Ayrshire cross,M,20,H00282,A07,0
KE-002909,cattle,Ayrshire cross,M,48,H00282,A07,0
KE-002910,cattle,Zebu,F,111,H00282,A07,0
KE-002911,cattle,Sahiwal,M,112,H00282,A07,0
KE-002912,cattle,Friesian cross,F,99,H00282,A07,1
KE-002913,cattle,Boran,M,49,H00283,A07,0
KE-002914,cattle,Sahiwal,M,92,H00283,A07,0
KE-002915,cattle,Boran,F,114,H00283,A07,0
KE-002916,cattle,Zebu,F,118,H00283,A07,1
KE-002917,cattle,Ayrshire cross,M,115,H00283,A07,0
KE-002918,cattle,Friesian cross,F,21,H00284,A07,0
KE-002919,cattle,Ayrshire cross,F,74,H00284,A07,0
KE-002920,cattle,Zebu,M,107,H00284,A07,0
KE-002921,cattle,Sahiwal,F,75,H00284,A07,0
KE-002922,cattle,Ayrshire cross,F,31,H00285,A07,0
KE-002923,cattle,Boran,F,44,H00285,A07,1
KE-002924,cattle,Friesian cross,M,21,H00285,A07,1
KE-002925,cattle,Zebu,M,19,H00285,A07,1
KE-002926,cattle,Zebu,F,108,H00286,A07,0
KE-002927,cattle,Sahiwal,F,69,H00286,A07,0
KE-002928,cattle,Boran,F,100,H00286,A07,0
KE-002929,cattle,Boran,M,67,H00286,A07,0
KE-002930,cattle,Sahiwal,M,10,H00287,A07,0
KE-002931,cattle,Friesian cross,F,90,H00287,A07,0
KE-002932,cattle,Sahiwal,F,79,H00287,A07,0
KE-002933,cattle,Friesian cross,M,70,H00287,A07,0
KE-002934,cattle,Friesian cross,M,38,H00287,A07,0
KE-002935,cattle,Friesian cross,F,64,H00288,A07,1
KE-002936,cattle,Ayrshire cross,F,84,H00288,A07,0
KE-002937,cattle,Friesian cross,M,116,H00288,A07,1
KE-002938,cattle,Friesian cross,F,87,H00288,A07,0
KE-002939,cattle,Zebu,M,62,H00288,A07,0
KE-002940,cattle,Sahiwal,M,36,H00288,A07,0
KE-002941,cattle,Boran,M,104,H00288,A07,0
KE-002942,cattle,Sahiwal,F,57,H00288,A07,0
KE-002943,cattle,Sahiwal,F,115,H00288,A07,0
KE-002944,cattle,Boran,F,38,H00288,A07,0
KE-002945,cattle,Friesian cross,F,107,H00289,A07,0
KE-002946,cattle,Friesian cross,F,34,H00290,A07,0
KE-002947,cattle,Zebu,F,105,H00290,A07,1
KE-002948,cattle,Ayrshire cross,F,90,H00290,A07,1
KE-002949,cattle,Friesian cross,F,112,H00290,A07,0
KE-002950,cattle,Zebu,F,71,H00291,A07,1
KE-002951,cattle,Zebu,F,31,H00291,A07,0
KE-002952,cattle,Ayrshire cross,F,55,H00291,A07,0
KE-002953,cattle,Friesian cross,F,115,H00291,A07,0
KE-002954,cattle,Sahiwal,M,43,H00291,A07,1
KE-002955,cattle,Ayrshire cross,F,15,H00292,A07,1
KE-002956,cattle,Friesian cross,M,91,H00292,A07,0
KE-002957,cattle,Friesian cross,M,28,H00292,A07,1
KE-002958,cattle,Ayrshire cross,M,119,H00292,A07,0
KE-002959,cattle,Sahiwal,F,104,H00292,A07,0
KE-002960,cattle,Ayrshire cross,M,33,H00293,A07,0
KE-002961,cattle,Sahiwal,M,10,H00293,A07,1
KE-002962,cattle,Friesian cross,F,82,H00293,A07,0
KE-002963,cattle,Friesian cross,F,103,H00293,A07,0
KE-002964,cattle,Ayrshire cross,M,75,H00294,A07,1
KE-002965,cattle,Boran,F,97,H00294,A07,0
KE-002966,cattle,Boran,F,47,H00295,A07,0
KE-002967,cattle,Friesian cross,F,18,H00295,A07,0
KE-002968,cattle,Boran,F,62,H00295,A07,0
KE-002969,cattle,Boran,M,56,H00295,A07,0
KE-002970,cattle,Boran,M,68,H00295,A07,1
KE-002971,cattle,Boran,F,114,H00296,A07,0
KE-002972,cattle,Boran,F,31,H00296,A07,0
KE-002973,cattle,Ayrshire cross,F,33,H00296,A07,1
KE-002974,cattle,Zebu,M,117,H00296,A07,0
KE-002975,cattle,Friesian cross,M,104,H00296,A07,0
KE-002976,cattle,Boran,F,25,H00296,A07,1
KE-002977,cattle,Zebu,F,87,H00296,A07,1
KE-002978,cattle,Sahiwal,F,83,H00296,A07,1
KE-002979,cattle,Zebu,M,18,H00296,A07,1
KE-002980,cattle,Zebu,F,22,H00296,A07,0
KE-002981,cattle,Ayrshire cross,F,28,H00296,A07,0
KE-002982,cattle,Zebu,F,105,H00296,A07,1
KE-002983,cattle,Friesian cross,M,27,H00297,A07,1
KE-002984,cattle,Ayrshire cross,M,112,H00297,A07,0
KE-002985,cattle,Ayrshire cross,M,7,H00298,A07,0
KE-002986,cattle,Sahiwal,F,95,H00298,A07,0
KE-002987,cattle,Ayrshire cross,M,97,H00298,A07,0
KE-002988,cattle,Zebu,F,63,H00298,A07,0
KE-002989,cattle,Zebu,F,110,H00298,A07,1
KE-002990,cattle,Ayrshire cross,F,8,H00298,A07,0
KE-002991,cattle,Sahiwal,F,13,H00298,A07,0
KE-002992,cattle,Zebu,F,63,H00299,A07,0
KE-002993,cattle,Boran,F,52,H00299,A07,0
KE-002994,cattle,Zebu,F,73,H00299,A07,0
KE-002995,cattle,Boran,F,7,H00299,A07,1
KE-002996,cattle,Zebu,M,17,H00300,A07,1
KE-002997,cattle,Ayrshire cross,F,82,H00300,A07,1
KE-002998,cattle,Sahiwal,F,24,H00300,A07,0
KE-002999,cattle,Friesian cross,F,98,H00300,A07,0
KE-003000,cattle,Ayrshire cross,F,94,H00301,A07,1
KE-003001,cattle,Zebu,F,23,H00301,A07,0
KE-003002,cattle,Ayrshire cross,F,48,H00301,A07,0
KE-003003,cattle,Sahiwal,F,48,H00302,A07,1
KE-003004,cattle,Friesian cross,F,60,H00302,A07,1
KE-003005,cattle,Boran,M,39,H00302,A07,0
KE-003006,cattle,Sahiwal,F,91,H00302,A07,0
KE-003007,cattle,Sahiwal,M,12,H00303,A07,0
KE-003008,cattle,Boran,F,73,H00303,A07,0
KE-003009,cattle,Friesian cross,F,90,H00303,A07,0
KE-003010,cattle,Ayrshire cross,F,14,H00303,A07,0
KE-003011,cattle,Ayrshire cross,F,99,H00303,A07,1
KE-003012,cattle,Ayrshire cross,F,61,H00303,A07,0
KE-003013,cattle,Sahiwal,M,58,H00303,A07,1
KE-003014,cattle,Friesian cross,F,28,H00303,A07,1
KE-003015,cattle,Friesian cross,F,32,H00303,A07,0
KE-003016,cattle,Boran,F,36,H00304,A07,0
KE-003017,cattle,Sahiwal,F,67,H00304,A07,1
KE-003018,cattle,Zebu,F,21,H00304,A07,0
KE-003019,cattle,Zebu,F,11,H00304,A07,1
KE-003020,cattle,Friesian cross,M,42,H00304,A07,1
KE-003021,cattle,Zebu,F,13,H00304,A07,1
KE-003022,cattle,Sahiwal,F,20,H00305,A07,1
KE-003023,cattle,Friesian cross,F,16,H00305,A07,0
KE-003024,cattle,Friesian cross,M,14,H00305,A07,1
KE-003025,cattle,Zebu,M,115,H00305,A07,0
KE-003026,cattle,Boran,M,32,H00305,A07,0
KE-003027,cattle,Ayrshire cross,F,24,H00305,A07,0
KE-003028,cattle,Sahiwal,M,102,H00305,A07,0
KE-003029,cattle,Ayrshire cross,F,89,H00305,A07,0
KE-003030,cattle,Sahiwal,M,118,H00305,A07,0
KE-003031,cattle,Boran,F,94,H00305,A07,1
KE-003032,cattle,Ayrshire cross,F,105,H00305,A07,1
KE-003033,cattle,Ayrshire cross,F,52,H00305,A07,0
KE-003034,cattle,Sahiwal,F,26,H00306,A07,1
KE-003035,cattle,Boran,F,45,H00306,A07,0
KE-003036,cattle,Ayrshire cross,F,34,H00306,A07,1
KE-003037,cattle,Ayrshire cross,M,64,H00306,A07,1
KE-003038,cattle,Boran,M,44,H00306,A07,1
KE-003039,cattle,Sahiwal,M,100,H00306,A07,0
KE-003040,cattle,Ayrshire cross,F,115,H00306,A07,0
KE-003041,cattle,Boran,F,18,H00306,A07,1
KE-003042,cattle,Sahiwal,F,60,H00306,A07,1
KE-003043,cattle,Sahiwal,F,75,H00307,A07,1
KE-003044,cattle,Zebu,M,28,H00307,A07,0
KE-003045,cattle,Boran,F,89,H00307,A07,0
KE-003046,cattle,Zebu,F,116,H00307,A07,0
KE-003047,cattle,Ayrshire cross,F,10,H00307,A07,0
KE-003048,cattle,Friesian cross,F,23,H00307,A07,0
KE-003049,cattle,Zebu,F,28,H00308,A08,0
KE-003050,cattle,Ayrshire cross,M,58,H00308,A08,1
KE-003051,cattle,Sahiwal,M,77,H00308,A08,1
KE-003052,cattle,Boran,F,97,H00308,A08,0
KE-003053,cattle,Zebu,F,25,H00308,A08,1
KE-003054,cattle,Zebu,F,115,H00308,A08,1
KE-003055,cattle,Boran,F,108,H00308,A08,0
KE-003056,cattle,Boran,F,38,H00308,A08,1
KE-003057,cattle,Sahiwal,F,58,H00308,A08,1
KE-003058,cattle,Friesian cross,F,34,H00308,A08,0
KE-003059,cattle,Friesian cross,F,25,H00308,A08,1
KE-003060,cattle,Sahiwal,M,57,H00308,A08,0
KE-003061,cattle,Ayrshire cross,M,105,H00308,A08,0
KE-003062,cattle,Zebu,F,87,H00308,A08,0
KE-003063,cattle,Ayrshire cross,F,95,H00308,A08,1
KE-003064,cattle,Zebu,F,25,H00308,A08,0
KE-003065,cattle,Sahiwal,F,83,H00308,A08,0
KE-003066,cattle,Boran,F,27,H00308,A08,1
KE-003067,cattle,Boran,F,99,H00308,A08,0
KE-003068,cattle,Zebu,M,91,H00308,A08,0
KE-003069,cattle,Friesian cross,M,98,H00308,A08,0
KE-003070,cattle,Ayrshire cross,M,18,H00308,A08,1
KE-003071,cattle,Ayrshire cross,M,14,H00308,A08,0
KE-003072,cattle,Ayrshire cross,F,24,H00308,A08,0
KE-003073,cattle,Friesian cross,F,21,H00308,A08,0
KE-003074,cattle,Boran,F,102,H00308,A08,0
KE-003075,cattle,Sahiwal,F,44,H00308,A08,0
KE-003076,cattle,Ayrshire cross,F,102,H00308,A08,1
KE-003077,cattle,Sahiwal,F,36,H00308,A08,1
KE-003078,cattle,Sahiwal,M,8,H00308,A08,1
KE-003079,cattle,Sahiwal,F,84,H00308,A08,0
KE-003080,cattle,Friesian cross,F,115,H00308,A08,1
KE-003081,cattle,Friesian cross,F,91,H00309,A08,1
KE-003082,cattle,Sahiwal,M,12,H00309,A08,1
KE-003083,cattle,Boran,F,62,H00309,A08,0
KE-003084,cattle,Friesian cross,M,39,H00309,A08,0
KE-003085,cattle,Ayrshire cross,F,55,H00309,A08,0
KE-003086,cattle,Zebu,F,92,H00309,A08,1
KE-003087,cattle,Ayrshire cross,F,10,H00309,A08,1
KE-003088,cattle,Zebu,F,8,H00309,A08,0
KE-003089,cattle,Friesian cross,M,96,H00309,A08,0
KE-003090,cattle,Sahiwal,F,77,H00309,A08,0
KE-003091,cattle,Friesian cross,F,37,H00309,A08,0
KE-003092,cattle,Ayrshire cross,F,105,H00309,A08,0
KE-003093,cattle,Ayrshire cross,F,17,H00309,A08,1
KE-003094,cattle,Ayrshire cross,M,25,H00309,A08,0
KE-003095,cattle,Ayrshire cross,M,7,H00309,A08,0
KE-003096,cattle,Sahiwal,F,50,H00310,A08,0
KE-003097,cattle,Ayrshire cross,F,59,H00310,A08,0
KE-003098,cattle,Zebu,F,40,H00310,A08,1
KE-003099,cattle,Ayrshire cross,F,104,H00310,A08,1
KE-003100,cattle,Zebu,F,119,H00310,A08,1
KE-003101,cattle,Ayrshire cross,F,36,H00310,A08,0
KE-003102,cattle,Sahiwal,F,55,H00310,A08,0
KE-003103,cattle,Boran,F,52,H00310,A08,0
KE-003104,cattle,Friesian cross,M,7,H00310,A08,0
KE-003105,cattle,Ayrshire cross,M,14,H00310,A08,0
KE-003106,cattle,Sahiwal,F,74,H00310,A08,1
KE-003107,cattle,Zebu,M,12,H00310,A08,1
KE-003108,cattle,Zebu,F,33,H00310,A08,1
KE-003109,cattle,Friesian cross,M,96,H00310,A08,0
KE-003110,cattle,Friesian cross,F,11,H00310,A08,0
KE-003111,cattle,Friesian cross,M,47,H00310,A08,0
KE-003112,cattle,Friesian cross,F,45,H00310,A08,0
KE-003113,cattle,Zebu,M,21,H00310,A08,0
KE-003114,cattle,Ayrshire cross,M,18,H00310,A08,0
KE-003115,cattle,Friesian cross,M,29,H00311,A08,0
KE-003116,cattle,Ayrshire cross,M,73,H00311,A08,0
KE-003117,cattle,Boran,F,56,H00311,A08,1
KE-003118,cattle,Friesian cross,F,55,H00311,A08,0
KE-003119,cattle,Boran,F,56,H00311,A08,0
KE-003120,cattle,Boran,F,119,H00311,A08,0
KE-003121,cattle,Sahiwal,F,97,H00311,A08,1
KE-003122,cattle,Ayrshire cross,M,30,H00311,A08,0
KE-003123,cattle,Zebu,M,62,H00311,A08,1
KE-003124,cattle,Ayrshire cross,M,49,H00311,A08,0
KE-003125,cattle,Friesian cross,F,94,H00312,A08,1
KE-003126,cattle,Ayrshire cross,F,29,H00312,A08,1
KE-003127,cattle,Zebu,M,108,H00312,A08,0
KE-003128,cattle,Ayrshire cross,F,37,H00312,A08,0
KE-003129,cattle,Friesian cross,F,87,H00312,A08,0
KE-003130,cattle,Ayrshire cross,F,20,H00312,A08,0
KE-003131,cattle,Friesian cross,F,27,H00312,A08,0
KE-003132,cattle,Boran,F,50,H00312,A08,1
KE-003133,cattle,Friesian cross,F,15,H00312,A08,1
KE-003134,cattle,Ayrshire cross,M,94,H00312,A08,1
KE-003135,cattle,Ayrshire cross,F,44,H00312,A08,1
KE-003136,cattle,Sahiwal,M,33,H00312,A08,1
KE-003137,cattle,Friesian cross,M,62,H00313,A08,0
KE-003138,cattle,Boran,F,40,H00313,A08,0
KE-003139,cattle,Boran,M,42,H00313,A08,0
KE-003140,cattle,Boran,F,64,H00313,A08,1
KE-003141,cattle,Boran,F,61,H00313,A08,0
KE-003142,cattle,Zebu,M,86,H00313,A08,0
KE-003143,cattle,Zebu,F,88,H00313,A08,0
KE-003144,cattle,Boran,F,75,H00313,A08,1
KE-003145,cattle,Zebu,F,72,H00314,A08,1
KE-003146,cattle,Sahiwal,F,101,H00314,A08,0
KE-003147,cattle,Ayrshire cross,F,70,H00314,A08,1
KE-003148,cattle,Zebu,F,74,H00314,A08,0
KE-003149,cattle,Friesian cross,M,22,H00314,A08,0
KE-003150,cattle,Boran,F,53,H00314,A08,0
KE-003151,cattle,Boran,M,88,H00314,A08,0
KE-003152,cattle,Friesian cross,F,107,H00314,A08,0
KE-003153,cattle,Sahiwal,F,56,H00314,A08,0
KE-003154,cattle,Sahiwal,F,94,H00314,A08,1
KE-003155,cattle,Zebu,M,39,H00314,A08,0
KE-003156,cattle,Ayrshire cross,F,47,H00314,A08,0
KE-003157,cattle,Boran,M,104,H00314,A08,0
KE-003158,cattle,Zebu,F,101,H00314,A08,1
KE-003159,cattle,Zebu,M,73,H00314,A08,1
KE-003160,cattle,Boran,F,91,H00314,A08,1
KE-003161,cattle,Boran,M,40,H00314,A08,0
KE-003162,cattle,Ayrshire cross,M,66,H00314,A08,0
KE-003163,cattle,Ayrshire cross,M,50,H00314,A08,1
KE-003164,cattle,Ayrshire cross,F,63,H00314,A08,0
KE-003165,cattle,Boran,F,65,H00315,A08,0
KE-003166,cattle,Friesian cross,F,80,H00315,A08,1
KE-003167,cattle,Ayrshire cross,F,16,H00315,A08,0
KE-003168,cattle,Ayrshire cross,F,105,H00315,A08,0
KE-003169,cattle,Boran,M,71,H00315,A08,1
KE-003170,cattle,Boran,F,68,H00315,A08,1
KE-003171,cattle,Sahiwal,F,11,H00316,A08,0
KE-003172,cattle,Ayrshire cross,M,84,H00316,A08,1
KE-003173,cattle,Sahiwal,F,103,H00316,A08,0
KE-003174,cattle,Sahiwal,M,19,H00316,A08,0
KE-003175,cattle,Boran,M,99,H00316,A08,0
KE-003176,cattle,Boran,F,87,H00316,A08,0
KE-003177,cattle,Ayrshire cross,F,119,H00316,A08,0
KE-003178,cattle,Boran,F,108,H00316,A08,1
KE-003179,cattle,Sahiwal,M,41,H00316,A08,0
KE-003180,cattle,Boran,F,19,H00316,A08,0
KE-003181,cattle,Sahiwal,M,82,H00316,A08,0
KE-003182,cattle,Zebu,F,45,H00316,A08,0
KE-003183,cattle,Friesian cross,F,54,H00316,A08,1
KE-003184,cattle,Ayrshire cross,M,22,H00316,A08,1
KE-003185,cattle,Sahiwal,M,73,H00316,A08,1
KE-003186,cattle,Friesian cross,F,31,H00316,A08,0
KE-003187,cattle,Sahiwal,F,44,H00316,A08,1
KE-003188,cattle,Sahiwal,F,8,H00316,A08,1
KE-003189,cattle,Friesian cross,M,47,H00317,A08,1
KE-003190,cattle,Boran,F,66,H00317,A08,0
